# time passed	number of events	interval average	total
3037.5	221.0	29.466666666666665	95051.0
3045.0	244.0	32.53333333333333	95295.0
3052.5	253.0	33.733333333333334	95548.0
3060.0	228.0	30.4	95776.0
3067.5	216.0	28.8	95992.0
3075.0	228.0	30.4	96220.0
3082.5	220.0	29.333333333333332	96440.0
3090.0	231.0	30.8	96671.0
3097.5	219.0	29.2	96890.0
3105.0	231.0	30.8	97121.0
3112.5	237.0	31.6	97358.0
3120.0	230.0	30.666666666666668	97588.0
3127.5	238.0	31.733333333333334	97826.0
3135.0	254.0	33.86666666666667	98080.0
3142.5	248.0	33.06666666666667	98328.0
3150.0	226.0	30.133333333333333	98554.0
3157.5	243.0	32.4	98797.0
3165.0	248.0	33.06666666666667	99045.0
3172.5	219.0	29.2	99264.0
3180.0	224.0	29.866666666666667	99488.0
3187.5	225.0	30.0	99713.0
3195.0	261.0	34.8	99974.0
3202.5	243.0	32.4	100217.0
3210.0	223.0	29.733333333333334	100440.0
3217.5	241.0	32.13333333333333	100681.0
3225.0	245.0	32.666666666666664	100926.0
3232.5	227.0	30.266666666666666	101153.0
3240.0	239.0	31.866666666666667	101392.0
3247.5	260.0	34.666666666666664	101652.0
3255.0	230.0	30.666666666666668	101882.0
3262.5	235.0	31.333333333333332	102117.0
3270.0	230.0	30.666666666666668	102347.0
3277.5	249.0	33.2	102596.0
3285.0	231.0	30.8	102827.0
3292.5	225.0	30.0	103052.0
3300.0	260.0	34.666666666666664	103312.0
3307.5	266.0	35.46666666666667	103578.0
3315.0	241.0	32.13333333333333	103819.0
3322.5	234.0	31.2	104053.0
3330.0	228.0	30.4	104281.0
3337.5	237.0	31.6	104518.0
3345.0	235.0	31.333333333333332	104753.0
3352.5	220.0	29.333333333333332	104973.0
3360.0	226.0	30.133333333333333	105199.0
3367.5	230.0	30.666666666666668	105429.0
3375.0	246.0	32.8	105675.0
3382.5	205.0	27.333333333333332	105880.0
3390.0	242.0	32.266666666666666	106122.0
3397.5	255.0	34.0	106377.0
3405.0	217.0	28.933333333333334	106594.0
3412.5	238.0	31.733333333333334	106832.0
3420.0	213.0	28.4	107045.0
3427.5	218.0	29.066666666666666	107263.0
3435.0	213.0	28.4	107476.0
3442.5	253.0	33.733333333333334	107729.0
3450.0	270.0	36.0	107999.0
3457.5	255.0	34.0	108254.0
3465.0	221.0	29.466666666666665	108475.0
3472.5	233.0	31.066666666666666	108708.0
3480.0	223.0	29.733333333333334	108931.0
3487.5	261.0	34.8	109192.0
3495.0	244.0	32.53333333333333	109436.0
3502.5	250.0	33.333333333333336	109686.0
3510.0	246.0	32.8	109932.0
3517.5	224.0	29.866666666666667	110156.0
3525.0	256.0	34.13333333333333	110412.0
3532.5	243.0	32.4	110655.0
3540.0	214.0	28.533333333333335	110869.0
3547.5	232.0	30.933333333333334	111101.0
3555.0	249.0	33.2	111350.0
3562.5	254.0	33.86666666666667	111604.0
3570.0	231.0	30.8	111835.0
3577.5	217.0	28.933333333333334	112052.0
3585.0	228.0	30.4	112280.0
3592.5	237.0	31.6	112517.0
3600.0	228.0	30.4	112745.0
3607.5	232.0	30.933333333333334	112977.0
